1241546526381486087|2020-03-22|YEESSSIIIRRR future grandson hey grandpa want corona|neutral
1241546526469603328|2020-03-22|NicolleDWallace We cant get face masks Trump-corona story 5 words via NYTimes|neutral
1241546526180233216|2020-03-22|Cupom de desconto ifood coronavirusbrasil corona coronavirus quarentena BBB20 virus covid19 covid19on|neutral
1241546526645579776|2020-03-22|Stay Home .. Defeat Corona virus ... Help Help Hindustan ..|neutral
1241546526754816000|2020-03-22|BeanzyF McConaughey Corona confused sort conspiracy|negative
1241546527140536321|2020-03-22|YEESSSIIIRRR future grandson hey grandpa want corona|neutral
1241546527392313346|2020-03-22|If I get corona Im sueing amber|neutral
1241546527295897600|2020-03-22|no_silenced NM see nobody seeing point We seeing Shit tons people like famous actors singers athletes congress|positive
1241546528407289857|2020-03-22|Ouraaofficial Feeling love socials right Spread love hate appreciate n jazz x Ft. tune w/ jayjaymusika comi|positive
1241546528495288320|2020-03-22|SidanaSimran PrayersForCoronaFreeWorld ,Janta curfew astute step taken Indian Government ,Its direction gover|positive
1241546528768000011|2020-03-22|sineadxia So shortness breath corona symptom right know also gives shortness breath Anxiety And know|positive
1241546529166381056|2020-03-22|INTOYOUBUNS PopCrave TMZ It would make sense stadium corona reason Stadiums way bigger|positive
1241546529397264386|2020-03-22|Johnrashton47 Very important Clinical protocols corona treatment China Please share clinicians JA|positive
1241546529434935296|2020-03-22|DynastyClaire OurPresidentBernie spent days raising money corona relief groups Doing virtual town halls addresses|negative
1241546530127073283|2020-03-22|YEESSSIIIRRR future grandson hey grandpa want corona|neutral
1241546530802278403|2020-03-22|CoronavirusPandemic coronavirus Corona CoronavirusOutbreak We survive|neutral
1241546531532083207|2020-03-22|SenSanders 34,927.43 That medical bill uninsured patient got tested treated coronavirus This n|neutral
1241546531972366341|2020-03-22|geeta_dhiman7 PrayersForCoronaFreeWorld Prayers Corona free world The power prayer multiplied pray together Let|positive
1241546532337278976|2020-03-22|This corona big fat white nasty smelling fat b ruin senior year trifflin dirty ass|negative
1241546532270333952|2020-03-22|OMGItsKhairy_ Black people watching United States spend trillions bailouts Corona Virus After JUST said|negative
1241546532370796544|2020-03-22|aaiimmaannnnn Create demand supply|neutral
1241546533385822213|2020-03-22|JANATA CURFEW ca n't change DIRECTION OF WIND definitely ADJUST OUR SAILS JANATA CURFEW|neutral
1241546533759102977|2020-03-22|SenSanders 34,927.43 That medical bill uninsured patient got tested treated coronavirus This n|neutral
1241546533952278528|2020-03-22|SenSanders 34,927.43 That medical bill uninsured patient got tested treated coronavirus This n|neutral
1241546534115610624|2020-03-22|TalkDigitalNet The Goddard Report host jimgoddard3 CoronaVirus ToxicDrugs FakeNews How turn non-pandemic|neutral
1241546534367440896|2020-03-22|PoliticusSarah Trump create novel corona virus COVID-19 ineptitude narcissism mendacious propaga|neutral
1241546534480572417|2020-03-22|Mubashi89089235 Time sitback amp Obey gov every possible way fight together We ahmadis r completely stand|positive
1241546534946299906|2020-03-22|Reuters First coronavirus cases confirmed Palestinian Gaza Strip|positive
1241546535038382080|2020-03-22|sedonyia 20 times day|neutral
1241546535311204352|2020-03-22|DonnaWR8 This doesnt look good In Europe China actually promoted spread coronavirus ... China Global|positive
1241546535646547968|2020-03-22|narendramodi We With sir CORONA FIGHTERS|neutral
