2020-08-12|The Oura Ring has been getting a lot of attention lately because of its role in a number of COVID-19 studies, as well as its adoption by both the NBA and WNBA as a potential tool for helping prevent any outbreaks of the novel coronavirus as those two leagues …|2
2020-08-12|Joe Biden’s decision to name California Senator Kamala Harris as his running mate in the quest to unseat President Trump means that the next White House could be occupied not only by a Black woman — a historic milestone by any account — but also by someone wh…|0
2020-08-12|Facebook said Tuesday it can’t moderate its own site or its subsidiary Instagram as effectively as possible for certain categories of rule violations during the novel coronavirus pandemic, while almost nobody got the chance to appeal its moderators’ decisions…|1
2020-08-12|Billy Woods, the sheriff of central Florida’s Marion County, banned masks for all deputies and visitors to the sheriff’s office starting Tuesday, according to a new report from the Ocala Star Banner—a strange decision to make in the middle of a pandemic that’…|0
2020-08-12|As Texas soars past 500,000 Covid-19 cases, state officials are redoubling their efforts to get residents to wear masks and practice social distancing, after suggesting that the surge has been driven by people letting their guard down.|0
2020-08-12|Cherokee County in Georgia opened up its schools for in-person learning. Within days, the numbers of confirmed Covid-19 infections and quarantines were making some parents change their minds about their children going to school.|1
2020-08-12|After 28 years as a schoolteacher, Tracy Strange knew how the first week should go. The school would smell fresh and clean. The floors would be polished. The children would be hopeful, their enthusiasm not yet diminished by the fatigue of the year. She would …|1
2020-08-12|A study says at least 800 people have died globally because of coronavirus-related misinformation.|1
2020-08-12|Of 55 health facilities assessed by the World Health Organization, half are "non-functional".|1
2020-08-12|A Barcelona player has tested positive for the novel coronavirus after reporting back for pre-season training, the La Liga side said in a statement on Wednesday .|1
2020-08-12|Norway is reimposing quarantine on more travellers from foreign countries, the government said on Wednesday, and reiterated its advice that Norwegians should avoid travelling abroad amid a jump in the number of new coronavirus cases.|0
2020-08-12|Greece reported 262 new cases of COVID-19 on Wednesday, its highest daily tally since the start of the coronavirus outbreak in the country.|1
2020-08-12|Singapore on Wednesday reported 42 new COVID-19 cases, its lowest daily count in about four and a half months.|1
2020-08-12|Venezuelan oil minister Tareck El Aissami said on Wednesday he had recovered from the novel coronavirus, a month after he tested positive for COVID-19.|0
2020-08-12|The Brazilian state of Parana on Wednesday reached a deal with Russia to produce a COVID-19 vaccine that Moscow has touted as the first to market, the state's press office said, although details of the agreement were not immediately available.|0
2020-08-12|Infrastructure company Balfour Beatty reported a pretax loss for the first half on Wednesday, as the COVID-19 crisis forced it to halt construction work at its projects in March and April.|1
2020-08-12|Shares of Moderna Inc rose 11% on Wednesday after the company signed a $1.5 billion deal with the U.S. government for the supply of its experimental coronavirus vaccine.|2
2020-05-27|May was a busy month at DigitalOcean, with a brand new data center and updates to many of our products. Here are the highlights:|2
2020-05-27|The novel coronavirus disease 2019 (COVID-19) has grown to be a global public health emergency since patients were first detected in Wuhan, China. Thus far, no specific drugs or vaccines are available to cure the patients with COVID-19 infection. The immune s…|0
2020-05-27|Decisions about the country’s research flagship will signpost national priorities.|0
2020-05-27|By redirecting funding to small teams, the country is betting on the creativity of its scientists.|2
2020-05-27|Congratulations on finishing exams and wrapping up the semester. The HBS Student COVID-19 Task Force wants to thank this entire community - students, faculty, and staff - for coming together to support each other and finding new ways to give back during these…|2
2020-06-25|MALVERN, Pa.--(BUSINESS WIRE)---- $PQG #refinancing--PQ Group Holdings Announces Successful Pricing and Allocation of New Senior Secured Term Loan Facility|2
2020-06-25|EVANSVILLE, Ind.--(BUSINESS WIRE)--Berry Global to Supply Medicom in support of British Government’s Mask Manufacturing Mandate|2
2020-06-25|“Let's try to make something good out of something really bad,” says “Survivor: Africa” winner, and lymphoma survivor, Ethan Zohn.|2
2020-06-25|TORONTO, June 25, 2020 /PRNewswire/ -- ACLU president Susan Herman today said a 2015 report on the Minneapolis police proved the department was "highly racist" – five years before one of its members killed George Floyd this May. Herman made the remarks at the…|1
2020-06-25|The Federal Reserve recently banned 34 largest banks from share buybacks in the third quarter (Q3). The Fed additionally, capped dividend payment to t|0
2020-06-25|From the left: The Looming China-America Split For years, China and the United States were in “a period of unconscious economic coupling,” but no more, observes The New York Times’ Thomas Friedman. The two are now headed for “divorce” — and China’s “overreach…|1
2020-06-25|The  Tampa Bay Rays  are "actively exploring" scenarios to have fans attend the team's games when  MLB  games resume, according to  Marc Topkin  of the  Tampa Bay Times .     "[ St...|2
2020-06-25|UK government provided £4.4 billion in support for exporters across the country|2
2020-06-25|Everybody says, 'Oh it's my family. I'm going to go see my brother. I’m going to see my cousin,' and they think that’s a safe word.View Entire Post ›|1
2020-06-25|‘It is our behaviors that are leading to these numbers,’ Gov. Gavin Newsom said.|0
2020-06-25|The virus doesn't care which party affiliation you might have. Let's place the blame where it belongs.|1
2020-05-28|The rest of the world should worry, too|1
2020-05-28|May 28, 2020Daniel Bicknell graduated from Harvard Kennedy School in May 2020 with a Master in Public Policy degree. A Belfer International and Global Affairs Student Fellow, he reflects here on his HKS experience and upcoming plans.|2
2020-05-28|May 28, 2020Bo Julie Crowley graduated in May 2020 with a Master in Public Policy from Harvard Kennedy School. A Belfer International and Global Affairs Student Fellow, she reflects here on special moments and experiences at HKS.|2
2020-05-28|Contrary to what many Americans think, the death rate in America is about the same as in Europe|1
2020-06-25|MORRISTOWN, N.J.--(BUSINESS WIRE)--Majesco (NASDAQ: MJCO), a global leader of cloud insurance software platform, today announced AGIA, Inc. completed its upgrade to Majesco’s InsPro PAS and moved to the Cloud, running on AWS. AGIA is a technologically advance…|2
2020-09-09|Michael D'Antonio details why Trump could go down as the worst US president in history. From his failure to take the steps that would have saved lives amid the pandemic to his amplification of misinformation, here's what Trump has cost the nation during his f…|1
2020-05-28|I find myself saying this quite often these days. Operating under this next normal, whether I am having work or personal conversations, I continue to challenge myself to find it. Sure, I have my good days and bad days like everyone else. But the good news is …|2
2020-05-28|According to a Reuters poll of economists released on Wednesday, the global economy will shrink by 3.2% this year.|0
2020-05-28|High levels of economic activity can foster the spread of communicable diseases through frequent person-to-person interactions.  This column discusses how research on high levels of employment affects the spread of influenza and other viruses transmitted via …|2
2020-05-28|In this instalment of our series, Dear Diary: In a Time of COVID-19, Sima Chowdhury tells us about fighting to see her mother in hospital, who ultimately made the decision she would be better off at home.|2
2020-05-28|Gentry County has gone from three COVID-19 cases a week ago to now having 21 active cases as of Wednesday along with reporting its first COVID-19 death.|1
2020-05-29|Has Covid accelerated the future of work? This column argues that Covid has changed the future of work via four shocks: massive job losses, massive digital transformations, massive debt burdens, and massive costs of socially distanced office space. These matt…|1
2020-05-29|Auckland Council leaves no area unscathed as it makes large scale cuts to bridge a $525million gap caused by impact of Covid-19.|0
2020-05-29|Request for €20 rise during crisis from 40 organisations is rejected|1
2020-05-29|I suspect many teachers are recoiling from the phrase “the new normal”. There is nothing normal about remote teaching and the idea that it can become a long-term replacement for the classroom or lecture hall is anathema to most in education. Also worrying is …|1
2020-05-29|Abdelrahman Y. Fouda shares six things he learnt from interviewing online.|2
2020-05-29|Racing Point's planned rebirth as Aston Martin is still on, regardless of the ongoing chaos wrought by the coronavirus pandemic. In fact, as STUART CODLING explains, team owner Lawrence Stroll has taken advantage of plunging stock markets to drive a better de…|0
2020-05-30|Cut by Wolfgang Puck, Mott 32, and more favorite restaurants reopen|2
2020-05-30|OPINION: No-one knows what lasting impact Covid-19 will have, which means it's time to listen.|2
2020-05-30|Below are experts from the ProfNet network who are available to discuss timely issues in your coverage area.|1
2020-05-30|The COVID-19 crisis has hit women’s employment particularly hard, partly because the worst-hit sectors have high female employment shares, but also because schools and daycare closures have forced more mothers to leave their jobs. This column looks at Germany…|0
2020-05-30|Non-performing loans are a crucial policy consideration, especially in times of wider economic crisis. This article uses a new database covering 88 banking crises since 1990 to draw lessons for post-COVID-19 resolution of non-performing loans.  Compared to th…|0
2020-05-30|As debates about the future of the World Health Organization rage on, the Covid-19 pandemic is a reminder of the vital importance of global public health institutions. This column considers what principles should guide WHO’s missions and tools to deal with pa…|2
2020-05-30|Covid-19 is recalibrating urban living but capitals endure as exciting laboratories|0
2020-05-30|Cities rise and fall, but the city has a way of confounding its would-be obituarists. Futurists thought digital communications would kill off urban living. The growth of the suburbs threatened to hollow out the centre. The 9/11 attacks were presumed by many t…|0
2020-05-30|243 pregnant women, some of them close to their due dates, were among 343 Vietnamese citizens repatriated from Taiwan Friday.|1
2020-05-30|An Amherst company has created a program aimed to connect small businesses with other small businesses who may need a helping hand.|2
2020-05-30|The mayor of Dayton, Ohio, on how badly America's cities need a bailout, and how painful the impact could be if they don't get one.|0
